 -0.885000000000000     
  1.144794-130  1.327495-135  5.467249-135  9.288018-135  1.923919-134  3.292142-134  3.902182-134  5.276533-134
  6.923961-134  1.016333-133  1.074443-133  1.267717-133  1.549284-133  1.839834-133  2.135194-133  2.206726-133
  2.804157-133  3.070899-133  3.424946-133  3.603004-133  4.111903-133  4.652483-133  4.736066-133  5.209125-133
  5.560814-133  6.348521-133  6.630050-133  6.948442-133  7.511513-133  7.932523-133  8.315192-133  9.004215-133
  9.049894-133  1.002807-132  1.053097-132  1.072613-132  1.140683-132  1.184089-132  1.260476-132  1.277833-132
  1.340168-132  1.418313-132  1.439422-132  1.512955-132  1.533630-132  1.640540-132  1.626362-132  1.693050-132
  1.778633-132  1.845046-132  1.887394-132  1.900765-132  1.986857-132  2.028988-132  2.060317-132  2.109766-132
  2.153691-132  2.241566-132  2.270300-132  2.292104-132  2.365147-132  2.407861-132  2.473130-132  2.442236-132
  2.538431-132  2.629225-132  2.602059-132  2.676516-132  2.672655-132  2.765726-132  2.755432-132  2.768296-132
  2.862776-132  2.860899-132  2.941485-132  2.913328-132  2.977069-132  3.011503-132  3.009081-132  3.059645-132
  3.059042-132  3.139581-132  3.128624-132  3.154901-132  3.140557-132  3.212620-132  3.230036-132  3.204575-132
  3.244020-132  3.264936-132  3.292105-132  3.272374-132  3.300610-132  3.293784-132  3.298046-132  3.284610-132
  3.310848-132  3.334571-132  3.374392-132  3.301037-132  3.326220-132  3.319549-132  3.327427-132  3.341960-132
  3.268817-132  3.358422-132  3.295340-132  3.300111-132  3.289354-132  3.315785-132  3.257191-132  3.233153-132
  3.253029-132  3.231873-132  3.232985-132  3.180656-132  3.204863-132  3.178031-132  3.128149-132  3.108665-132
  3.121079-132  3.097204-132  3.068543-132  3.051142-132  3.017258-132  3.032669-132  2.954478-132  2.946416-132
  2.915611-132  2.924825-132  2.876842-132  2.829438-132  2.844374-132  2.783941-132  2.769465-132  2.716649-132
  2.710691-132  2.698119-132  2.626915-132  2.605456-132  2.588416-132  2.560281-132  2.538605-132  2.473694-132
  2.466025-132  2.438279-132  2.412078-132  2.368542-132  2.349519-132  2.320620-132  2.276381-132  2.240990-132
  2.212154-132  2.186675-132  2.170553-132  2.112725-132  2.095405-132  2.073148-132  2.033817-132  1.996512-132
  1.978303-132  1.970133-132  1.907322-132  1.902990-132  1.858007-132  1.850899-132  1.799063-132  1.794377-132
  1.761493-132  1.732572-132  1.726195-132  1.680432-132  1.658479-132  1.638839-132  1.621829-132  1.576375-132
  1.573576-132  1.550098-132  1.534036-132  1.503374-132  1.484945-132  1.471557-132  1.441434-132  1.427805-132
  1.407067-132  1.391888-132  1.371092-132  1.356357-132  1.336022-132  1.322173-132  1.295939-132  1.290785-132
  1.275932-132  1.258419-132  1.249190-132  1.229169-132  1.221778-132  1.203548-132  1.194733-132  1.179345-132
  1.167897-132  1.160801-132  1.152254-132  1.133774-132  1.127627-132  1.124131-132  1.104485-132  1.104201-132
  1.094904-132  1.090746-132  1.079878-132  1.069262-132  1.064791-132  1.060708-132  1.056150-132  1.042839-132
  1.044147-132  1.043713-132  1.033327-132  1.033684-132  1.028441-132  1.031958-132  1.020391-132  1.021538-132
  1.016723-132  1.023268-132  1.020431-132  1.015080-132  1.017730-132  1.020381-132  1.016829-132  1.013457-132
  1.023089-132  1.021049-132  1.026231-132  1.015528-132  1.027928-132  1.028046-132  1.031141-132  1.036206-132
  1.036993-132  1.043473-132  1.046947-132  1.049402-132  1.057532-132  1.060041-132  1.064616-132  1.067944-132
  1.076734-132  1.082459-132  1.088785-132  1.094757-132  1.103069-132  1.109746-132  1.114364-132  1.119231-132
 -0.875000000000000     
  1.761387-126  2.557295-131  1.082395-130  1.785184-130  3.896672-130  6.655015-130  8.069777-130  1.068398-129
  1.401359-129  2.059553-129  2.227634-129  2.542524-129  3.127441-129  3.721985-129  4.290395-129  4.440473-129
