,f,Omega
0,0.0059508346992211926,7.588491158172036e-13
1,0.006098398815945005,5.544923484458086e-13
2,0.006300858646312914,4.1271568048546753e-13
3,0.006671470757877379,3.3072538330712847e-13
4,0.007121794130734813,2.6502331831682975e-13
5,0.0076648422766673234,2.2035921666123028e-13
6,0.008316929274608188,1.7987179372071374e-13
7,0.009024492619946041,1.5234404572907752e-13
8,0.009953470578067471,1.290291701051218e-13
9,0.010888807030354905,1.0928242491093826e-13
10,0.012108156422613876,9.255774011942433e-14
11,0.013138258685286095,8.285543883552617e-14
12,0.014372872498784297,7.148233456213435e-14
13,0.015852410718667113,6.281910151812943e-14
14,0.01762759392484947,5.728161932190684e-14
15,0.01897172603852975,5.320520731114182e-14
16,0.020754515949593398,4.8515186583182735e-14
17,0.022890978204107064,4.423858956956165e-14
18,0.025247367098974502,4.033897311203022e-14
19,0.028074615450649112,3.746827433566152e-14
20,0.031218464468472845,3.480186711232177e-14
21,0.03586684480150806,3.29273427290644e-14
22,0.040210259293860635,3.1153785390250075e-14
23,0.04582184066872847,3.05840881742477e-14
24,0.05221655167468465,3.05840881742477e-14
25,0.05950368271992569,3.1734094494240475e-14
26,0.06948922022676958,3.545012991788969e-14
27,0.07790424775053269,3.887713609540216e-14
28,0.0859236824214991,4.342961560373557e-14
29,0.0963288956352958,5.127711307560479e-14
30,0.10977216723069047,6.398924813302126e-14
31,0.12306539178515913,7.839261677251984e-14
32,0.1390995154961935,9.964921673571892e-14
33,0.15217082025554016,1.1984688676568405e-13
34,0.16647044710862086,1.468232764052991e-13
35,0.1836068538358782,1.7987179372071374e-13
36,0.20416749973723808,2.2035921666123028e-13
37,0.2215370641946864,2.749885816025418e-13
38,0.24038434557490515,3.4316114005810075e-13
39,0.2629734755886015,4.4433662967420804e-13
40,0.2924217472629266,5.648210116841715e-13
41,0.327833528309456,7.313493149557386e-13
42,0.3859872323538441,1.1180892046250193e-12
43,0.4362773012730223,1.5301581829084175e-12
44,0.4891097476039024,2.0558002626322208e-12
45,0.5665443756512384,2.8658673110111983e-12
46,0.6299870960716004,3.7799441246336984e-12
47,0.7005342534033876,4.894399267971311e-12
48,0.7663640781007095,6.337433412891922e-12
49,0.8315625561619822,8.055864209023706e-12
50,0.9023077993483148,1.0052997582704985e-11
51,0.9790716990944032,1.2778924549356208e-11
52,1.0623662930320783,1.6854800145102666e-11
53,1.1621977951961509,2.2644784671252202e-11
54,1.2818340096829663,3.215575001284252e-11
55,1.4137855321800843,4.6511931924044147e-11
56,1.5340634361648728,6.483948255869175e-11
57,1.6645739913245998,8.87359115912438e-11
58,1.8359246270584064,1.331789920965211e-10
59,2.008448091499424,1.9622608795637108e-10
60,2.179316954710444,2.735469691601916e-10
61,2.4233610264676098,4.105520413384398e-10
62,2.6728209211084666,6.049078740283452e-10
63,3.021061321474717,9.774323153447652e-10
64,3.304953131513058,1.4401499550562424e-09
65,3.6750480905954186,2.201705922001237e-09
66,4.0533561922225,3.428673988382089e-09
67,4.544210799740863,5.540177106158237e-09
68,5.053080197601805,8.78831909186898e-09
69,5.5732424185577925,1.3940809288327205e-08
70,6.047386410871503,2.0540405258598852e-08
71,6.72458428243771,3.140223817622959e-08
72,7.356499427663782,4.8007843567927566e-08
73,8.047796199172549,7.75728333321545e-08
74,8.876233386207385,1.1859359918332224e-07
75,9.870210940851242,2.0630979725058692e-07
76,10.975495999043915,3.2726685361765014e-07
77,12.006873085993021,5.191396380788801e-07
78,13.028358661650092,8.084461033748138e-07
79,14.36949312060272,1.3806843050091506e-06
80,15.848683468535828,2.4018893177631427e-06
