,f,Omega
0,0.0009917430757458347,4.716008592569078e-13
1,0.0010543130810960297,2.59552410670119e-13
2,0.0011556470683595482,1.6316368673919325e-13
3,0.0013060688088478618,1.0605191585620853e-13
4,0.0014760697968686013,7.366272702965317e-14
5,0.001693910009495746,5.117016098130091e-14
6,0.0019143933203915285,3.55423432947658e-14
7,0.0022307824299491927,2.5525361250715664e-14
8,0.002560004069668368,1.9588098794067403e-14
9,0.0031231620163624176,1.4071398925704522e-14
10,0.0038102052633504713,9.778339971094056e-15
11,0.004648386498300374,6.79505521058266e-15
12,0.0058471104622755754,4.722807890392643e-15
13,0.007354960860193786,3.2825214333530534e-15
14,0.009251655087413838,2.2814705172194447e-15
15,0.01218389967664022,1.534349048985081e-15
16,0.015325878624044557,1.1024238277219322e-15
17,0.01927810978690823,7.920872351261799e-16
18,0.025388166050254662,5.506801914178174e-16
19,0.03242746521034438,4.0905407828302656e-16
20,0.040102495416484106,3.140474603078398e-16
21,0.052857584454229965,2.277958585055023e-16
22,0.06966958552877514,1.7706472750459943e-16
23,0.0908586378518462,1.4411676373365808e-16
24,0.11117616718592856,1.28581666895509e-16
25,0.13177056686019378,1.2577909038000678e-16
26,0.15784762457064588,1.3493139779187156e-16
27,0.1931450252179983,1.5159907324450302e-16
28,0.2388591719481856,1.956045894267142e-16
29,0.30173532537398673,2.832540867625308e-16
30,0.3731509516489013,4.007802105779043e-16
31,0.4517697105341494,5.937518653869172e-16
32,0.5469525682682551,9.211439420856044e-16
33,0.6836297933717892,1.4967751072211273e-15
34,0.8454333534068077,2.4319689306914766e-15
35,1.02355676612043,4.043116249901382e-15
36,1.2392088025024828,6.5684445371449284e-15
37,1.5002963265243752,1.0919952352004609e-14
38,1.7594253406390972,1.6551929048368498e-14
39,2.0853432921147435,2.7513868689282714e-14
40,2.4716346556588418,4.573563407859757e-14
41,2.8679075879195235,7.601557532268159e-14
42,3.3632484433833083,1.2347133743139313e-13
43,3.9441438558087922,2.100165468147737e-13
44,4.576501654895678,3.41106109425128e-13
45,5.254139278153415,5.539848672239094e-13
46,5.968382090041312,8.591221751702389e-13
47,6.708087766540984,1.332245847615121e-12
48,7.3030133486471716,2.113698194077673e-12
49,7.950701574976682,3.511764406433198e-12
50,8.655831848650056,5.834555416116246e-12
51,9.127953311078494,9.917890752993727e-12
52,9.524125054510039,1.609828066947098e-11
