,f,Omega
0,1.582833147136098e-09,7.4395037885656464e-09
1,1.669166790542381e-09,3.902552370027481e-09
2,1.7416120249723852e-09,2.0470381156469437e-09
3,1.8562178016700954e-09,1.2619483041132152e-09
4,2.020841684750853e-09,9.574573564429337e-10
5,2.223558550751603e-09,8.152379450058557e-10
6,2.5258270342479827e-09,7.61341782251948e-10
7,2.9620842306681582e-09,7.79839585845032e-10
8,3.5861624620103472e-09,8.96547121549659e-10
9,4.250467275792737e-09,1.054624120464362e-09
10,5.312610698005912e-09,1.3298292378725832e-09
11,6.6401716793132935e-09,1.7559730643836797e-09
12,8.477669138871393e-09,2.4850245143597524e-09
13,1.0709290479267309e-08,3.5985523216017903e-09
14,1.3385420349483159e-08,5.456588207358253e-09
15,1.655352198301409e-08,7.900656174829616e-09
16,2.004116511438888e-08,1.143799711346575e-08
17,2.4007260364074667e-08,1.5811949789513534e-08
18,2.8454392582574736e-08,2.1857137762074526e-08
19,3.556482161393735e-08,3.4706469973224624e-08
20,4.3517717711508416e-08,5.384687915983672e-08
21,5.381762230693573e-08,8.749072355602378e-08
22,6.446799193178713e-08,1.357240906168374e-07
23,7.972647057623553e-08,2.1549962230928468e-07
24,1.0071328785087812e-07,3.752656722971637e-07
25,1.2193245842809511e-07,6.238742273995398e-07
26,2.1409379429024802e-07,3.2166482419772967e-06
27,2.821889434883312e-07,9.091929746898053e-06
28,3.2397235348021593e-07,1.6570055506177764e-05
29,3.6801285421185496e-07,3.1621907903188035e-05
30,3.8398536076284474e-07,4.469684391672042e-05
31,1.4238902020097165e-07,9.56372726221741e-07
32,1.7122292609056563e-07,1.5684877907670975e-06
33,1.948146908733158e-07,2.373711413375459e-06
34,2.537527722798336e-07,5.889805643057676e-06
