,f,Xi
0,1e-06,
1,1.0046204213468131e-06,
2,1.0092621909870486e-06,
3,1.0139254075588142e-06,
4,1.018610170155975e-06,
5,1.0233165783302448e-06,
6,1.0280447320933098e-06,
7,1.0327947319189523e-06,
8,1.0375666787451851e-06,
9,1.0423606739764008e-06,
10,1.0471768194855205e-06,
11,1.0520152176161592e-06,
12,1.056875971184805e-06,
13,1.061759183482999e-06,
14,1.0666649582795387e-06,
15,1.0715933998226714e-06,
16,1.0765446128423159e-06,
17,1.0815187025522892e-06,
18,1.0865157746525372e-06,
19,1.0915359353313913e-06,
20,1.09657929126781e-06,
21,1.101645949633657e-06,
22,1.1067360180959743e-06,
23,1.1118496048192698e-06,
24,1.1169868184678223e-06,
25,1.12214776820798e-06,
26,1.127332563710487e-06,
27,1.1325413151528126e-06,
28,1.13777413322149e-06,
29,1.1430311291144787e-06,
30,1.1483124145435112e-06,
31,1.1536181017364786e-06,
32,1.1589483034398115e-06,
33,1.1643031329208755e-06,
34,1.1696827039703847e-06,
35,1.1750871309048077e-06,
36,1.1805165285688057e-06,
37,1.1859710123376708e-06,
38,1.1914506981197747e-06,
39,1.1969557023590428e-06,
40,1.2024861420374122e-06,
41,1.2080421346773291e-06,
42,1.213623798344242e-06,
43,1.2192312516491094e-06,
44,1.2248646137509307e-06,
45,1.2305240043592616e-06,
46,1.236209543736769e-06,
47,1.2419213527017849e-06,
48,1.2476595526308686e-06,
49,1.2534242654613994e-06,
50,1.2592156136941506e-06,
51,1.2650337203959035e-06,0.9952360134429613
52,1.2708787092020594e-06,0.9653862340787416
53,1.2767507043192644e-06,0.9366042658778003
54,1.28264983052806e-06,0.9088411839760451
55,1.2885762131855178e-06,0.8820549230838625
56,1.294529978227916e-06,0.856198926750846
57,1.3005112521734101e-06,0.8312307102642077
58,1.30652016212472e-06,0.8071188093137108
59,1.3125568357718428e-06,0.7838200688570868
60,1.3186214013947485e-06,0.7613031434673413
61,1.3247139878661177e-06,0.739537957714223
62,1.330834724654076e-06,0.7184906249703481
63,1.3369837418249452e-06,0.6981327715187391
64,1.3431611700460156e-06,0.6784371959949445
65,1.3493671405883065e-06,0.6593778142104348
66,1.355601785329369e-06,0.6409296065668378
67,1.3618652367560827e-06,0.6230685679195755
68,1.3681576279674705e-06,0.6057716597561696
69,1.3744790926775369e-06,0.5890216982862068
70,1.3808297652180924e-06,0.5727943354132828
71,1.387209780541621e-06,0.5570684071935744
72,1.3936192742241437e-06,0.5418311181013561
73,1.4000583824680962e-06,0.527059622157572
74,1.4065272421052364e-06,0.5127395914480168
75,1.4130259905995338e-06,0.4988535879226972
76,1.4195547660501015e-06,0.48538797580981874
77,1.4261137071941298e-06,0.472323651137782
78,1.4327029534098294e-06,0.4596542506779624
79,1.4393226447194066e-06,0.4473590740296001
80,1.4459729217920196e-06,0.43542585572423864
81,1.4526539259467812e-06,0.42384761444834923
82,1.4593657991557576e-06,0.41260789132506936
83,1.4661086840469832e-06,0.40169519121037933
84,1.4728827239075018e-06,0.39109890549342485
85,1.4796880626863962e-06,0.3808087932565155
86,1.4865248449978571e-06,0.37081645193042834
87,1.493393216124253e-06,0.3611111677494183
88,1.5002933220192168e-06,0.3516828848478734
89,1.5072253093107556e-06,0.3425227255491684
90,1.5141893253043518e-06,0.3336221154036229
91,1.5211855179861048e-06,0.32497277202765573
92,1.5282140360258708e-06,0.3165666943732735
93,1.5352750287804212e-06,0.3083961524103595
94,1.5423686462966274e-06,0.3004536772049852
95,1.5494950393146317e-06,0.29273205137775193
96,1.556654359271062e-06,0.2852256450474838
97,1.5638467583022478e-06,0.27792749937892314
98,1.5710723892474488e-06,0.2708303014831236
99,1.5783314056521166e-06,0.26392773804286024
100,1.5856239617711372e-06,0.2572137055642565
101,1.5929502125721232e-06,0.25068230278136866
102,1.6003103137387017e-06,0.24432926111314338
103,1.6077044216738218e-06,0.23815046530074846
104,1.6151326935030896e-06,0.2321379902636487
105,1.6225952870780872e-06,0.2262866637136356
106,1.6300923609797409e-06,0.2205925658712413
107,1.637624074521689e-06,0.21505391550291206
108,1.645190587753661e-06,0.20966209871241148
109,1.6527920614648938e-06,0.20441257624531042
110,1.6604286571875298e-06,0.19930565963645167
111,1.6681005372000591e-06,0.19433369242282358
112,1.6758078645307687e-06,0.18949144024122114
113,1.6835508029612006e-06,0.1847800247267961
114,1.6913295170296468e-06,0.18019184635370267
115,1.699144172034626e-06,0.17572245487820934
116,1.7069949340384078e-06,0.17137396591209755
117,1.714881969870541e-06,0.16713677016969342
118,1.7228054471313924e-06,0.16301123450201116
119,1.730765534195724e-06,0.15899362993495533
120,1.7387624002162502e-06,0.1550786308065987
121,1.7467962151272456e-06,0.1512682839354721
122,1.7548671496481518e-06,0.14755348905459068
123,1.762975375287204e-06,0.143937886368298
124,1.771121064345087e-06,0.14041312350312382
125,1.7793043899185776e-06,0.1369809079174534
126,1.7875255259042354e-06,0.1336355879224071
127,1.795784647002097e-06,0.1303770562365
128,1.804081928719381e-06,0.12720120867880716
129,1.812417547374236e-06,0.12410720144397917
130,1.8207916800994625e-06,0.12109143678532815
131,1.8292045048462937e-06,0.11815330630403834
132,1.8376562003881725e-06,0.11528878049380824
133,1.8461469463245456e-06,0.11249836078678539
134,1.8546769230846974e-06,0.10977674210813822
135,1.86324631193156e-06,0.10712632072354351
136,1.8718552949655795e-06,0.10453989043014925
137,1.8805040551285839e-06,0.10202205029148315
138,1.8891927762076644e-06,0.09956497767617842
139,1.8979216428390994e-06,0.09717126807993266
140,1.906690840512252e-06,0.09483685123739226
141,1.9155005555735283e-06,0.09256049650737148
142,1.9243509752303327e-06,0.09034240208359665
143,1.933242287555043e-06,0.08817746146796385
144,1.9421746814890245e-06,0.08606925625590442
145,1.9511483468466163e-06,0.08401188138506122
146,1.960163474319186e-06,0.08200573164085259
147,1.9692202554791733e-06,0.08005041178597146
148,1.9783188827841618e-06,0.07814171398614016
149,1.9874595495809813e-06,0.07628232189275523
150,1.996642450109793e-06,0.07446804775796854
151,2.005867779508234e-06,0.0726974769551596
152,2.015135733815559e-06,0.07097282719119237
153,2.024446509976802e-06,0.06928909242088092
154,2.03380030584698e-06,0.06764673836312368
155,2.04319732019527e-06,0.06604597123284703
156,2.052637752709252e-06,0.06448308405757446
157,2.0621218039991445e-06,0.06295899835606586
158,2.071649675602067e-06,0.061472939653062955
159,2.0812215699863367e-06,0.060021957277930554
160,2.09083769055575e-06,0.058606996303482074
161,2.1004982416539157e-06,0.05722717895538825
162,2.110203428568597e-06,0.05587984742015276
163,2.119953457536069e-06,0.05456560500874128
164,2.1297485357455187e-06,0.053284212437991
165,2.1395888713434217e-06,0.05203291147751623
166,2.149474673437981e-06,0.05081165745242383
167,2.1594061521035675e-06,0.049621471634739636
168,2.169383518385182e-06,0.0484591641101807
169,2.1794069843029542e-06,0.04732408187211792
170,2.1894767628566207e-06,0.04621814192179901
171,2.1995930680300747e-06,0.04513832743094998
172,2.2097561147959038e-06,0.04408374111428019
173,2.219966119119957e-06,0.04305502106132757
174,2.2302232979659364e-06,0.04205169337114049
175,2.2405278693000184e-06,0.04107174661142474
176,2.250880052095462e-06,0.04011463592737908
177,2.2612800663372794e-06,0.03918199753924543
178,2.2717281330269074e-06,0.038271277411142564
179,2.2822244741868957e-06,0.03738172545219489
180,2.2927693128656486e-06,0.03651330358184209
181,2.3033628731421314e-06,0.03566680566863549
182,2.3140053801306546e-06,0.03483993234829697
183,2.3246970599856503e-06,0.03403222865851754
184,2.335438139906477e-06,0.033243993457331526
185,2.3462288481422627e-06,0.03247528551224687
186,2.357069413996728e-06,0.03172435256478985
187,2.367960067833078e-06,0.030990783599902434
188,2.378901041078896e-06,0.030274880404930614
189,2.3898925662310483e-06,0.02957664633503396
190,2.4009348768606516e-06,0.02889451574134715
191,2.412028207618007e-06,0.028228117227003316
192,2.4231727942376005e-06,0.02757749129931495
193,2.434368873543113e-06,0.026943124041819127
194,2.445616683452444e-06,0.02632334918553279
195,2.4569164629827902e-06,0.025717831060272922
196,2.4682684522556926e-06,0.025126241717305695
197,2.4796728925021598e-06,0.024549674453115098
198,2.491130026067791e-06,0.023986431052686587
199,2.502640096417917e-06,0.023436110150629214
200,2.5142033481427965e-06,0.022898415265946867
201,2.5258200269627847e-06,0.022373698568330457
202,2.537490379733572e-06,0.021861722711891945
203,2.549214654451426e-06,0.021361462364928786
204,2.560993100258457e-06,0.020872649442216982
205,2.5728259674479322e-06,0.020395021993108237
206,2.584713507469564e-06,0.019929328921977327
207,2.5966559729348724e-06,0.019474484750444502
208,2.60865361762255e-06,0.0190300214211963
209,2.6207066964838497e-06,0.018595702013781256
210,2.63281546564802e-06,0.018171295014948356
211,2.64498018242772e-06,0.01775765408871855
212,2.657201105324506e-06,0.017353440665724248
213,2.669478494034324e-06,0.016958428260528333
214,2.6818126094530133e-06,0.016572407432465033
215,2.6942037136818816e-06,0.016195173508318016
216,2.706652070033241e-06,0.015827465924432262
217,2.719157943036019e-06,0.015468139951039498
218,2.7317215984413794e-06,0.01511697164203668
219,2.744343303228363e-06,0.014773775796538893
220,2.7570233256095828e-06,0.014438371418218117
221,2.7697619350368906e-06,0.014111224070518565
222,2.782559402207126e-06,0.013791709341865143
223,2.7954159990678597e-06,0.013479429255742827
224,2.8083319988231696e-06,0.013174220001072462
225,2.8213076759394713e-06,0.012875921475882325
226,2.8343433061513088e-06,0.01258461369523345
227,2.847439166467248e-06,0.012300421645388528
228,2.860595535175745e-06,0.012022647362759285
229,2.873812691851064e-06,0.011751145918112027
230,2.887090917359234e-06,0.011485775655077293
231,2.900430493863992e-06,0.011226398116240984
232,2.913831704832789e-06,0.010973317821189146
233,2.9272948350428187e-06,0.010726172331984979
234,2.9408201705870607e-06,0.010484593153155692
235,2.95440799888038e-06,0.010248454918014094
236,2.9680586086656025e-06,0.010017635083432366
237,2.9817722900196724e-06,0.009792013866248362
238,2.995549334359816e-06,0.009571927516268284
239,3.009390034449718e-06,0.009356919989966383
