,gamma,A
0,1.3248337028824837,1.839060078910481e-14
1,1.3802660753880267,1.632426175564741e-14
2,1.4467849223946785,1.4261558418826968e-14
3,1.5243902439024388,1.4603544955081933e-14
4,1.596452328159645,1.4835601037154698e-14
5,1.6796008869179602,1.4031686428527456e-14
6,1.7516629711751666,1.3699835272516031e-14
7,1.8181818181818183,1.3165219089563069e-14
8,1.88470066518847,1.2551411279504495e-14
9,1.9567627494456759,1.206150450255702e-14
10,2.0288248337028825,1.131789286015968e-14
11,2.106430155210643,1.079002379252522e-14
12,2.2006651884700665,1.0368502419163076e-14
13,2.2838137472283813,1.0043049102560934e-14
14,2.3669623059866964,9.72781132693138e-15
15,2.4390243902439024,9.200840661812114e-15
16,2.516629711751663,8.633517664755207e-15
17,2.5942350332594235,8.037107518799554e-15
18,2.660753880266076,7.482029573246876e-15
19,2.7161862527716187,7.020935517037357e-15
20,2.799334811529933,6.964490729525822e-15
21,2.8713968957871403,6.963693801644287e-15
22,2.9101995565410204,6.9081956724565654e-15
23,2.9490022172949,6.482636392845102e-15
24,2.993348115299334,5.987400661242141e-15
25,3.0266075388026614,5.61861373540421e-15
26,3.059866962305987,5.399640668981921e-15
27,3.1208425720620845,5.23033738495333e-15
28,3.1873614190687363,5.026231061579532e-15
29,3.2538802660753885,5.025700162574161e-15
30,3.2926829268292686,4.716106537533175e-15
31,3.325942350332594,4.425623483148735e-15
32,3.3647450110864745,4.152995834683383e-15
33,3.414634146341464,4.0228513564956385e-15
34,3.4645232815964513,3.8659675128228895e-15
35,3.519955654101996,3.7151691487509714e-15
36,3.5809312638580932,3.656284553893968e-15
37,3.6308203991130825,3.627081428006537e-15
38,3.6529933481152987,3.4037355217290853e-15
39,3.702882483370288,3.1940020741023487e-15
40,3.76940133037694,3.021004608060873e-15
41,3.8192904656319286,2.8574527014793357e-15
42,3.8802660753880263,2.702707626965701e-15
43,3.935698447893569,2.597284110767158e-15
44,3.97450110864745,2.4567149415351773e-15
45,4.013303769401331,2.2871440792749477e-15
46,4.063192904656319,2.2154707175413406e-15
47,4.107538802660754,2.112252222134307e-15
48,4.162971175166296,2.0298603813988044e-15
49,4.246119733924612,2.013541325679229e-15
50,4.2960088691796,2.013381812339805e-15
51,4.33481152993348,1.9658689040684365e-15
52,4.368070953436807,1.8447835131366436e-15
53,4.401330376940132,1.7038827748979767e-15
54,4.445676274944566,1.6116517277523506e-15
55,4.47339246119734,1.52445339723544e-15
56,4.53991130820399,1.6114105713599948e-15
57,4.6008869179600875,1.7169211999428357e-15
58,4.656319290465631,1.8439392836566782e-15
59,4.634146341463413,1.9649346688150577e-15
60,4.606430155210643,2.213560354385831e-15
61,4.567627494456762,2.5741590052653868e-15
62,4.528824833702882,2.9463397145976282e-15
63,4.484478935698449,3.345690914312633e-15
64,4.417960088691795,3.8601186818531884e-15
65,4.362527716186253,4.383401991005759e-15
66,4.290465631929046,5.057430974229529e-15
67,4.229490022172949,5.6078914998819e-15
68,4.168514412416851,6.169087993611534e-15
69,4.096452328159645,6.679645610208391e-15
70,4.057649667405764,7.174880377436058e-15
71,4.0022172949002215,8.147517608599145e-15
72,3.9412416851441234,8.54588442427831e-15
73,3.8802660753880263,8.963729089218775e-15
74,3.8248337028824833,9.476869115203916e-15
75,3.76940133037694,1.0508257297607513e-14
76,3.713968957871397,1.1651893688767643e-14
77,3.6807095343680714,1.2615434401082274e-14
78,3.597560975609756,1.281905778435802e-14
79,3.5254988913525502,1.3129573864303206e-14
80,3.4922394678492243,1.3446782983854515e-14
81,3.436807095343681,1.5029083148466173e-14
82,3.3869179600886916,1.6664584111792846e-14
83,3.3536585365853653,1.7478617257947562e-14
84,3.2705099778270514,1.7902317033969017e-14
85,3.1651884700665187,1.8336933370839353e-14
86,3.093126385809312,1.8339031856769562e-14
87,3.059866962305987,1.863356249010224e-14
88,2.9878048780487805,2.066203906796352e-14
89,2.937915742793792,2.2018807344308645e-14
90,2.893569844789357,2.3651509171319992e-14
91,2.8270509977827047,2.4417311080936854e-14
92,2.7272727272727275,2.461585498064624e-14
93,2.6496674057649665,2.4618888738225588e-14
94,2.5498891352549893,2.4428060242001702e-14
95,2.4556541019955653,2.4238497552677517e-14
96,2.3780487804878048,2.424148480320041e-14
97,2.29490022172949,2.4632762106408598e-14
98,2.222838137472284,2.5029914283171364e-14
99,2.178492239467849,2.5635085678932223e-14
100,2.1618625277161865,2.864983361548935e-14
101,2.145232815964523,3.2274365340414086e-14
102,2.1341463414634148,3.5501333557711237e-14
103,2.106430155210643,3.8132762134285014e-14
104,2.056541019955654,3.9996531033171165e-14
105,1.9900221729490024,4.096500653897556e-14
106,1.934589800443459,4.195619404464658e-14
107,1.8736141906873611,4.064854773582988e-14
108,1.812638580931264,3.845467587403345e-14
109,1.768292682926829,3.666824152986423e-14
110,1.7184035476718402,3.755513411297258e-14
111,1.6685144124168514,3.87700915894677e-14
112,1.6130820399113084,4.002470684200062e-14
113,1.5631929046563195,3.78638381369684e-14
114,1.5188470066518849,3.525500134082576e-14
115,1.5188470066518849,3.179751269053779e-14
116,1.5077605321507759,2.8227775660817433e-14
117,1.4966740576496678,2.5459901368946483e-14
118,1.4578713968957873,2.3332025523673316e-14
119,1.3968957871396896,2.1213639518329344e-14
120,1.352549889135255,1.9595800501910225e-14
121,1.3137472283813751,1.8537528802838482e-14
