,gamma,A
0,2.749928859119166,1.3156648199582702e-14
1,2.763609797741004,1.2180760687700248e-14
2,2.7909716749846774,1.1495994826075242e-14
3,2.832014490850188,1.0989403470266943e-14
4,2.8593763680938618,1.0305253448710121e-14
5,2.8833180106820766,9.663805459240216e-15
6,2.9209405918921285,9.238057904326471e-15
7,2.9585631731021804,8.718424306253229e-15
8,2.9996059889676916,8.280908199226285e-15
9,3.040648804833202,7.815024590076283e-15
10,3.0816916206987126,7.470641701717456e-15
11,3.1261546712196835,7.050263420972456e-15
12,3.1706177217406535,6.696384311324214e-15
13,3.2219212415725416,6.319430200782735e-15
14,3.2629640574380523,5.925741605682765e-15
15,3.310847342614482,5.5922323002395685e-15
16,3.3621508624463705,5.277433319972946e-15
17,3.4134543822782595,4.980355062426078e-15
18,3.464757902110148,4.699999989381243e-15
19,3.5194816565974962,4.435376238658167e-15
20,3.574205411084844,4.1856515793404005e-15
21,3.6289291655721923,3.924714705475536e-15
22,3.68365292005954,3.703741784576102e-15
23,3.7281159705805087,3.4953296205493237e-15
24,3.779419490412398,3.3198103803790624e-15
25,3.8341432448997463,3.1530690182403325e-15
26,3.8820265300761747,2.994770600032982e-15
27,3.9299098152526053,2.8444194830302627e-15
28,3.988053804395412,2.7189203856567266e-15
29,4.035937089571841,2.565895615135833e-15
30,4.083820374748272,2.437075974712021e-15
31,4.138544129235619,2.3748688296284127e-15
32,4.1932678837229655,2.2847306414678223e-15
33,4.244571403554855,2.212192510816157e-15
34,4.295874923386744,2.128252925870983e-15
35,4.350598677874092,2.0213589315835826e-15
36,4.405322432361438,1.932196212901905e-15
37,4.466886656159706,1.8707868582146413e-15
38,4.521610410647054,1.81137045353068e-15
39,4.569493695823484,1.7204314109906474e-15
40,4.617376980999912,1.6551700798122734e-15
41,4.682361439453637,1.612866266074999e-15
42,4.740505428596443,1.5817999778537777e-15
43,4.7952291830837925,1.5513497293921534e-15
44,4.856793406882058,1.5117166216006186e-15
45,4.921777865335785,1.4921115766330715e-15
46,4.966240915856755,1.4634378274396156e-15
47,4.997023027755889,1.4821937376049517e-15
48,4.983342089134051,1.5704100105393633e-15
49,4.955980211890377,1.6746671302609587e-15
50,4.935458803957621,1.7973044206085922e-15
51,4.918357630680325,1.928900591264369e-15
52,4.911517161369408,2.0968067331311755e-15
53,4.904676692058488,2.250255224204072e-15
54,4.873894580159355,2.3388469432527826e-15
55,4.832851764293843,2.4624183179045924e-15
56,4.80548988705017,2.5266886755358238e-15
57,4.791808948428334,2.729119704934512e-15
58,4.750766132562823,2.854927120707948e-15
59,4.702882847386394,3.0058336533486644e-15
60,4.654999562209962,3.2056052371715034e-15
61,4.617376980999912,3.374932782994331e-15
62,4.569493695823484,3.599235171319556e-15
63,4.521610410647054,3.838444985849492e-15
64,4.480567594781543,4.041246594905232e-15
65,4.436104544260572,4.282209548229698e-15
66,4.388221259084143,4.508559772821095e-15
67,4.3403379739077135,4.746874480606396e-15
68,4.289034454075825,5.030025617787624e-15
69,4.241151168899397,5.364327611916748e-15
70,4.186427414412049,5.684374529335015e-15
71,4.145384598546537,5.984704560187206e-15
72,4.0906608440591885,6.341764453750002e-15
73,4.0393573242273,6.677055193498181e-15
74,3.991474039050871,6.985014184134364e-15
75,3.943590753874442,7.401586154680317e-15
76,3.8888669993870937,7.843180144493465e-15
77,3.840983714210664,8.364448019023998e-15
78,3.7931004290342343,8.750232903904948e-15
79,3.748637378513265,9.212650304891309e-15
80,3.7178552666141313,9.392730024301249e-15
81,3.68365292005954,9.57643874792812e-15
82,3.63576963488311,1.0082632813623805e-14
83,3.5810458803957617,1.0752982350889221e-14
84,3.5297423605638736,1.1249059183338505e-14
85,3.4784388407319846,1.1396343210509414e-14
86,3.427135320900096,1.1619901007752328e-14
87,3.375831801068208,1.1696721686337022e-14
88,3.334788985202697,1.231470995695473e-14
89,3.2834854653708083,1.2800409579373462e-14
90,3.242442649505297,1.3304811230882596e-14
91,3.2048200682952457,1.374045251221535e-14
92,3.153516548463357,1.4009993823845758e-14
93,3.1056332632869275,1.4193265262731358e-14
94,3.068010682076876,1.4564213871080774e-14
95,3.0269678662113653,1.533370412522687e-14
96,2.979084581034936,1.5434901580216698e-14
97,2.924360826547588,1.5437712373360473e-14
98,2.8764775413711585,1.5341384351108702e-14
99,2.8251740215392704,1.524583090095702e-14
100,2.7875514403292185,1.486124199051213e-14
101,2.749928859119166,1.4301577152218572e-14
