,gamma,A
0,4.295702853797498,1.7927388891571102e-15
1,4.36073879390637,1.638026684646035e-15
2,4.420710015650012,1.5280919939678654e-15
3,4.475771403382102,1.4059790224853716e-15
4,4.525799049619693,1.3116803729349954e-15
5,4.58073652986884,1.2407274381382425e-15
6,4.6357669407301945,1.149503991480291e-15
7,4.685856540709259,1.0576699117450565e-15
8,4.740948905312084,9.664396380132665e-16
9,4.796041269914908,8.830785139592324e-16
10,4.846068916152501,8.23850666330247e-16
11,4.896096562390095,7.685952151295642e-16
12,4.941214374616137,7.072088198842059e-16
13,5.01109819499509,6.642939565116025e-16
14,5.071038439867996,6.240129258477296e-16
15,5.136074379976868,5.701610146825184e-16
16,5.20104836634427,5.282152852880194e-16
17,5.261019588087913,4.927645905319887e-16
18,5.325931620713842,4.628736422517746e-16
19,5.405913900952524,4.199819742071833e-16
20,5.490867968944227,3.810557546335321e-16
21,5.565847484559146,3.4815433434881564e-16
22,5.6308214709265485,3.2254124064361197e-16
23,5.69585741103542,2.9470614056990607e-16
24,5.7509187987675086,2.711555672528628e-16
25,5.815861808264173,2.529511905961746e-16
26,5.895813111632117,2.3110518215032493e-16
27,5.975671484387857,2.1557426265807155e-16
28,6.0655663632618495,1.969469293989164e-16
29,6.140514902006034,1.8119126297981396e-16
30,6.205488888373437,1.6786134478147696e-16
31,6.290473933235872,1.5125293667470418e-16
32,6.385278646121418,1.4010553976211131e-16
33,6.480145312748434,1.2799626201276102e-16
34,6.564975473257197,1.1939171386691322e-16
35,6.644895799754408,1.0983781856949736e-16
36,6.6898587276267705,1.0462263965369015e-16
37,6.729787914004638,1.0104603714429279e-16
38,6.752478471818286,1.6398367311319335e-16
39,6.6925072500746445,1.757810612620302e-16
40,6.6574259439668575,1.8710576531241847e-16
41,6.587542123587903,1.991932128586435e-16
42,6.5175963494674765,2.1501631589833014e-16
43,6.432611304605037,2.386262953312219e-16
44,6.36260357674314,2.611708434498937e-16
45,6.28768601486969,2.819239015854869e-16
46,6.212737476125506,3.064388747464605e-16
47,6.147701536016634,3.353821357472194e-16
48,6.0826346190370275,3.696074781649412e-16
49,5.992677786421566,4.102021740159303e-16
50,5.892715424558582,4.616207582828513e-16
51,5.8277104613204465,5.017375914600128e-16
52,5.7376916749635125,5.646032344466595e-16
53,5.637884197454207,6.137718297597302e-16
54,5.552806221979563,6.954535104765303e-16
55,5.437959473728244,7.772875228615183e-16
56,5.3581011009725055,8.332867399806963e-16
57,5.293127114605105,8.994582822983249e-16
58,5.218271506473126,9.575880498305953e-16
59,5.143353944599675,1.0336795468965618e-15
60,5.0733152398670445,1.1391923825323635e-15
61,4.998428654864331,1.2212357839512071e-15
62,4.898776061708703,1.282446713568312e-15
63,4.813945901199941,1.374872512093025e-15
64,4.753974679456299,1.4737842169743495e-15
65,4.6740853298298255,1.5909313223001476e-15
66,4.594319887686293,1.6705132994353338e-15
67,4.509520704048266,1.7785590192708192e-15
68,4.459555011552144,1.8802239883250275e-15
69,4.4047104619152035,1.9469148306531952e-15
70,4.36493615989101,1.947285178838505e-15
71,4.335229340855807,1.89440349492984e-15
72,4.315497074197388,1.8301639919178284e-15
