,f,Omega
0,1e-06,0.0017519829181570914
1,1.0046204213468131e-06,0.0015976801058603992
2,1.0092621909870486e-06,0.001456967242207557
3,1.0139254075588142e-06,0.0013286474163880493
4,1.018610170155975e-06,0.0012116291334044117
5,1.0233165783302448e-06,0.0011049170297604066
6,1.0280447320933098e-06,0.0010076034068479858
7,1.0327947319189523e-06,0.0009198997285398279
8,1.0375666787451851e-06,0.0008468915757907418
9,1.0423606739764008e-06,0.0007857908489914663
10,1.0471768194855205e-06,0.000733611704282468
11,1.0520152176161592e-06,0.0006883296610918824
12,1.056875971184805e-06,0.0006485163150968169
13,1.061759183482999e-06,0.000613130633240378
14,1.0666649582795387e-06,0.000581392970480383
15,1.0715933998226714e-06,0.0005527060483869738
16,1.0765446128423159e-06,0.0005266034296400584
17,1.0815187025522892e-06,0.0005027142941942121
18,1.0865157746525372e-06,0.00048073964755055294
19,1.0915359353313913e-06,0.00046043562417758134
20,1.09657929126781e-06,0.0004416002142528415
21,1.101645949633657e-06,0.0004240650929827304
22,1.1067360180959743e-06,0.0004076879877483008
23,1.1118496048192698e-06,0.0003923485639116022
24,1.1169868184678223e-06,0.00037794327868689127
25,1.12214776820798e-06,0.0003643831386142157
26,1.127332563710487e-06,0.0003515904220027626
27,1.1325413151528126e-06,0.00033949810008813335
28,1.13777413322149e-06,0.00032804636584155033
29,1.1430311291144787e-06,0.000317183187455699
30,1.1483124145435112e-06,0.0003068621738426186
31,1.1536181017364786e-06,0.00029704187776365885
32,1.1589483034398115e-06,0.00028768554915514083
33,1.1643031329208755e-06,0.0002787598677365744
34,1.1696827039703847e-06,0.000270235340521766
35,1.1750871309048077e-06,0.00026208467644312145
36,1.1805165285688057e-06,0.00025428365239031327
37,1.1859710123376708e-06,0.00024680995695192185
38,1.1914506981197747e-06,0.00023964362377320068
39,1.1969557023590428e-06,0.0002327656376144702
40,1.2024861420374122e-06,0.00022615973409994454
41,1.2080421346773291e-06,0.00021980980180893666
42,1.213623798344242e-06,0.0002137014658618963
43,1.2192312516491094e-06,0.0002078223676706247
44,1.2248646137509307e-06,0.00020215921868826863
45,1.2305240043592616e-06,0.0001967011885446791
46,1.236209543736769e-06,0.00019143796005035828
47,1.2419213527017849e-06,0.00018635966861517222
48,1.2476595526308686e-06,0.00018145687090590808
49,1.2534242654613994e-06,0.00017672166252362945
50,1.2592156136941506e-06,0.00017214543659454067
51,1.2650337203959035e-06,0.00016772169581937436
52,1.2708787092020594e-06,0.00016344298029081372
53,1.2767507043192644e-06,0.00015930275470901737
54,1.28264983052806e-06,0.00015529486974156273
55,1.2885762131855178e-06,0.0001514143079095166
56,1.294529978227916e-06,0.00014765490300816048
57,1.3005112521734101e-06,0.00014401141458298243
58,1.30652016212472e-06,0.00014048005081971916
59,1.3125568357718428e-06,0.00013705524817575802
60,1.3186214013947485e-06,0.00013373303614576653
61,1.3247139878661177e-06,0.0001305099467085216
62,1.330834724654076e-06,0.00012738148019892368
63,1.3369837418249452e-06,0.00012434411447051139
64,1.3431611700460156e-06,0.000121394458581636
65,1.3493671405883065e-06,0.00011852924676196274
66,1.355601785329369e-06,0.00011574533262989185
67,1.3618652367560827e-06,0.00011303968364657308
68,1.3681576279674705e-06,0.00011040937579269668
69,1.3744790926775369e-06,0.00010785258981892655
