,f,Omega
0,1.026309137331897e-07,1.214025677625772e-11
1,1.1030787448822172e-07,1.0316946555480271e-11
2,1.2028196136227775e-07,9.224219457495865e-12
3,1.3115790958968528e-07,8.247229366022946e-12
4,1.430172658735088e-07,6.904227456383913e-12
5,1.605143204364765e-07,6.1232891056389655e-12
6,1.8015200408020272e-07,5.084906953442898e-12
7,1.9362766959809468e-07,4.0460839555087526e-12
8,2.2047451503814765e-07,3.613367075778897e-12
9,2.404099183509974e-07,3.1605795055063664e-12
10,2.698222094696544e-07,2.742284975820076e-12
11,2.942196531724383e-07,2.346623477371001e-12
12,3.2548526189658025e-07,1.8521941966896042e-12
13,3.653058622420186e-07,1.6791133047236545e-12
14,3.92631340170684e-07,1.4585694758282887e-12
15,4.3435478631796724e-07,1.2846631774251212e-12
16,4.736293385020014e-07,1.075465030513774e-12
17,5.392989490128892e-07,9.39614428383075e-13
18,6.052779976193353e-07,7.975753665903731e-13
19,6.793290717006716e-07,6.770079792053051e-13
20,7.624397210419153e-07,5.746664492247885e-13
21,8.557183144940021e-07,4.877956213341461e-13
22,9.604088212505408e-07,4.1405682985972875e-13
23,1.0779074004992758e-06,3.592574784724872e-13
24,1.192452539348703e-06,2.962760488137989e-13
25,1.3383398699258844e-06,2.627642141606766e-13
26,1.4805601813899131e-06,2.2641467090697774e-13
27,1.6378937069540681e-06,1.9941908518128239e-13
28,1.8119464706671257e-06,1.7564220275672255e-13
29,2.033624084686678e-06,1.5922907006559773e-13
30,2.2497296175367906e-06,1.3720208291255783e-13
31,2.4887998672586723e-06,1.235226696980094e-13
32,2.793285250948259e-06,1.025758005573863e-13
33,3.135022062565118e-06,8.706968439559169e-14
34,3.5696988468260767e-06,7.122770070468214e-14
35,4.1237109935333745e-06,6.130360551228615e-14
36,4.628215088301744e-06,5.557500386686492e-14
37,5.19444135080622e-06,4.615064203648278e-14
38,6.176277733741569e-06,4.116742349174508e-14
39,6.9318974684867155e-06,3.4944251483570875e-14
40,7.893018264543582e-06,2.9220087129931637e-14
41,9.659672580093865e-06,2.5294428124435408e-14
42,1.1485512424239392e-05,2.1126588645569392e-14
43,1.3078000613005968e-05,1.8457920016616307e-14
44,1.5107687571246987e-05,1.6238415959171683e-14
45,1.7963293461795433e-05,1.4485036764989546e-14
46,2.1052722727657114e-05,1.2281188686131754e-14
47,2.432007513267955e-05,1.1288829796150781e-14
48,2.8916976510203027e-05,9.851470370215038e-15
49,3.340484983513251e-05,8.666863521837401e-15
50,3.915000569543541e-05,7.847913151558667e-15
51,4.5883246101008585e-05,7.106347143833874e-15
52,5.3774507445631844e-05,6.434853285633687e-15
53,6.39387896694277e-05,5.740035644737368e-15
54,7.712906117628008e-05,5.753300995045289e-15
55,9.17077450674295e-05,5.4810588359664305e-15
56,0.0001074801640907048,4.963141927280243e-15
57,0.00013344837298838414,4.934582666809239e-15
58,0.00016331744666101734,5.203649940104976e-15
59,0.00019418717841282587,5.5319021434754366e-15
60,0.00023765111138110824,6.230222569430857e-15
61,0.00029935772947204965,7.114553868406395e-15
62,0.0003611138207247314,8.49846821535697e-15
63,0.0004483622838411915,9.851470370215076e-15
64,0.0005487169437608621,1.2380813334073377e-14
65,0.0006812920690579638,1.601506200311412e-14
66,0.0008100676766028612,2.0740027416386746e-14
67,0.0009771808272983928,2.7645303123468862e-14
68,0.0011288378916846928,3.8546261067346124e-14
69,0.001322981845654018,5.908073881860169e-14
70,0.001528306732658772,9.396144283830872e-14
71,0.0018171822927180944,1.7665874493605902e-13
72,0.002010287375712888,2.812808418599347e-13
73,0.0023902653468424,5.64803065813408e-13
74,0.002801356761198876,1.1767766379223022e-12
75,0.0033308600906185306,2.4688718574478656e-12
76,0.003847804804547553,4.889229278869553e-12
77,0.004509572135676163,9.965832575226755e-12
78,0.005209451270253222,1.847923604054466e-11
79,0.0060179506437973524,3.823609100139985e-11
80,0.007052951985784025,8.508282623029556e-11
81,0.008507942799627445,2.0057323781811959e-10
82,0.01011608643249585,4.695658928542678e-10
83,0.011855908450490915,1.0222124255181044e-09
84,0.013894954943731415,2.03840524979862e-09
85,0.01700499235818794,5.055647024091319e-09
86,0.021113556925396897,1.4089303571820558e-08
87,0.026214788966213584,3.757981947866094e-08
88,0.031169822980411627,8.420359416317726e-08
89,0.03706144138266235,1.9285476723109265e-07
90,0.043435478631796726,4.10725040195393e-07
91,0.053157421898742,1.0186791009240281e-06
92,0.06320506462265646,2.3331203714555225e-06
93,0.0796163944978579,6.840771207416981e-06
94,0.0988524570912832,1.8650652824903208e-05
95,0.12273613160474005,5.084906953442961e-05
96,0.15239032437388306,0.00013562763013948303
97,0.1947483039908761,0.00041838030376889046
98,0.245315116611214,0.0012539001670413147
99,0.3002227571240644,0.0035472519238377237
100,0.3781762365267144,0.00995433686592515
101,0.4832930238571772,0.03352205462273702
102,0.6000611206356941,0.09549205090558362
103,0.7343697631390397,0.2529442812443552
104,0.8731779435154766,0.5306759136289033
105,0.9659672580093842,0.8828400117180313
