 -0.885000000000000     
  1.666950-139  3.993457-144  1.074775-143  1.782405-143  3.807725-143  5.961887-143  7.318100-143  9.537309-143
  1.227371-142  1.832494-142  1.879913-142  2.148983-142  2.700958-142  3.119565-142  3.559441-142  3.645208-142
  4.536324-142  5.067821-142  5.567027-142  5.773267-142  6.441810-142  7.086714-142  7.337364-142  7.948892-142
  8.338213-142  9.266832-142  9.649287-142  9.892622-142  1.082215-141  1.127311-141  1.179051-141  1.249490-141
  1.261961-141  1.368378-141  1.419538-141  1.433374-141  1.511048-141  1.537107-141  1.621863-141  1.619452-141
  1.709280-141  1.758617-141  1.785294-141  1.861912-141  1.853183-141  1.969949-141  1.942624-141  1.999152-141
  2.072735-141  2.110178-141  2.156018-141  2.148128-141  2.235872-141  2.267930-141  2.274686-141  2.307850-141
  2.351028-141  2.423508-141  2.408728-141  2.446070-141  2.514577-141  2.511305-141  2.569097-141  2.513390-141
  2.580656-141  2.676874-141  2.616721-141  2.678403-141  2.662313-141  2.763928-141  2.706254-141  2.718919-141
  2.792447-141  2.780847-141  2.853303-141  2.818202-141  2.861152-141  2.886617-141  2.867098-141  2.901483-141
  2.916926-141  2.959530-141  2.953936-141  2.975009-141  2.976321-141  3.038456-141  3.027590-141  3.036402-141
  3.059766-141  3.081177-141  3.129124-141  3.106428-141  3.121746-141  3.158401-141  3.155423-141  3.150274-141
  3.201203-141  3.239148-141  3.278873-141  3.235044-141  3.279454-141  3.305999-141  3.323175-141  3.369209-141
  3.320096-141  3.449148-141  3.398885-141  3.449243-141  3.478746-141  3.539936-141  3.528133-141  3.535379-141
  3.595184-141  3.621289-141  3.675284-141  3.661639-141  3.746124-141  3.785197-141  3.787797-141  3.824913-141
  3.896807-141  3.943875-141  3.974447-141  4.023682-141  4.048716-141  4.153604-141  4.140527-141  4.208973-141
 -0.875000000000000     
  7.537141-135  2.234877-139  6.019531-139  1.017844-138  2.192520-138  3.427735-138  4.187394-138  5.417697-138
  7.108932-138  1.043802-137  1.081955-137  1.241278-137  1.552025-137  1.796667-137  2.057797-137  2.108914-137
  2.637006-137  2.970092-137  3.217168-137  3.339010-137  3.777707-137  4.130164-137  4.271868-137  4.629404-137
  4.853968-137  5.381089-137  5.610797-137  5.730927-137  6.334584-137  6.593101-137  6.891566-137  7.294230-137
  7.266677-137  7.922184-137  8.215081-137  8.291430-137  8.759448-137  8.888110-137  9.321540-137  9.324508-137
  9.844527-137  1.008722-136  1.024565-136  1.063609-136  1.061088-136  1.125710-136  1.101943-136  1.135710-136
  1.178886-136  1.193124-136  1.211558-136  1.205007-136  1.254093-136  1.267817-136  1.270242-136  1.283344-136
  1.303016-136  1.336384-136  1.324366-136  1.340645-136  1.373762-136  1.362330-136  1.390594-136  1.360258-136
  1.386515-136  1.433187-136  1.397287-136  1.423353-136  1.405145-136  1.454283-136  1.418160-136  1.423279-136
  1.449575-136  1.435925-136  1.467144-136  1.444137-136  1.460137-136  1.460400-136  1.444277-136  1.456368-136
  1.457284-136  1.468953-136  1.458229-136  1.461150-136  1.452948-136  1.473093-136  1.463600-136  1.460104-136
  1.466227-136  1.465767-136  1.481400-136  1.464209-136  1.465772-136  1.475512-136  1.463653-136  1.457429-136
  1.477611-136  1.484011-136  1.496337-136  1.470492-136  1.483642-136  1.490198-136  1.489057-136  1.504528-136
  1.475541-136  1.530082-136  1.498300-136  1.517925-136  1.526731-136  1.547618-136  1.538821-136  1.537976-136
  1.559520-136  1.571854-136  1.586460-136  1.580054-136  1.612508-136  1.627479-136  1.625507-136  1.638955-136
  1.669429-136  1.688086-136  1.699954-136  1.719252-136  1.729347-136  1.773279-136  1.768846-136  1.797955-136
 -0.865000000000000     
  9.864202-132  4.837688-136  1.356585-135  2.219504-135  4.985688-135  7.759237-135  9.447832-135  1.225562-134
  1.607136-134  2.318892-134  2.492709-134  2.843290-134  3.526452-134  4.085344-134  4.646678-134  4.826939-134
  6.055004-134  6.750788-134  7.284903-134  7.605883-134  8.657427-134  9.441266-134  9.695484-134  1.043484-133
  1.101580-133  1.219999-133  1.269695-133  1.292704-133  1.428073-133  1.482174-133  1.536855-133  1.631594-133
  1.620849-133  1.755495-133  1.822479-133  1.840736-133  1.939443-133  1.959425-133  2.038030-133  2.038982-133
  2.149934-133  2.202663-133  2.215350-133  2.287297-133  2.285559-133  2.410500-133  2.337486-133  2.399771-133
  2.485758-133  2.509936-133  2.527430-133  2.495737-133  2.589625-133  2.591472-133  2.590317-133  2.602782-133
  2.621567-133  2.673110-133  2.627794-133  2.647552-133  2.683916-133  2.645917-133  2.671005-133  2.612450-133
  2.640385-133  2.708831-133  2.618901-133  2.653958-133  2.588551-133  2.659123-133  2.576722-133  2.565711-133
  2.587141-133  2.539755-133  2.569606-133  2.503974-133  2.519170-133  2.483875-133  2.434840-133  2.438253-133
  2.413986-133  2.414704-133  2.370307-133  2.347970-133  2.314918-133  2.317889-133  2.290127-133  2.257296-133
  2.247162-133  2.222797-133  2.224418-133  2.176238-133  2.166107-133  2.152736-133  2.117401-133  2.091939-133
  2.103360-133  2.086613-133  2.091292-133  2.036888-133  2.040159-133  2.029876-133  2.016826-133  2.014968-133
  1.961635-133  2.022193-133  1.966967-133  1.974479-133  1.977507-133  1.992214-133  1.971552-133  1.962173-133
  1.978468-133  1.992626-133  1.992239-133  1.978080-133  2.009011-133  2.030440-133  2.019536-133  2.025799-133
  2.065111-133  2.080004-133  2.096387-133  2.112098-133  2.127815-133  2.178642-133  2.171956-133  2.202712-133
 -0.855000000000000     
  9.009326-129  6.978358-133  2.096207-132  3.328699-132  7.691535-132  1.203451-131  1.465053-131  1.890108-131
  2.478389-131  3.579663-131  3.936266-131  4.421527-131  5.489354-131  6.331024-131  7.173826-131  7.481675-131
  9.459976-131  1.034303-130  1.121221-130  1.173499-130  1.335288-130  1.457324-130  1.488028-130  1.592236-130
  1.683146-130  1.867255-130  1.936782-130  1.965540-130  2.153629-130  2.230368-130  2.297035-130  2.440198-130
  2.434261-130  2.611502-130  2.705037-130  2.720858-130  2.864713-130  2.880782-130  2.979391-130  2.968291-130
  3.119641-130  3.188564-130  3.175972-130  3.268582-130  3.254233-130  3.418584-130  3.289741-130  3.358319-130
  3.457525-130  3.486971-130  3.481883-130  3.409860-130  3.520783-130  3.492292-130  3.475764-130  3.467624-130
  3.468597-130  3.515497-130  3.424437-130  3.431706-130  3.445313-130  3.379825-130  3.373646-130  3.277186-130
  3.295375-130  3.346493-130  3.213438-130  3.233219-130  3.122850-130  3.178307-130  3.062001-130  3.013323-130
  3.015330-130  2.933771-130  2.942262-130  2.834852-130  2.833600-130  2.766756-130  2.685286-130  2.667154-130
  2.616540-130  2.595083-130  2.521375-130  2.474433-130  2.424612-130  2.404864-130  2.355444-130  2.296915-130
  2.271373-130  2.226751-130  2.206489-130  2.141435-130  2.118646-130  2.084156-130  2.042141-130  2.000591-130
  1.995965-130  1.964680-130  1.963286-130  1.898673-130  1.889507-130  1.871651-130  1.852213-130  1.840397-130
  1.784202-130  1.828779-130  1.779047-130  1.771887-130  1.776286-130  1.784025-130  1.762105-130  1.755038-130
  1.765084-130  1.780122-130  1.776509-130  1.761451-130  1.787063-130  1.811714-130  1.802791-130  1.800633-130
  1.844531-130  1.855924-130  1.874278-130  1.886368-130  1.907429-130  1.952919-130  1.947782-130  1.974120-130
 -0.845000000000000     
  6.847739-126  7.538964-130  2.437058-129  3.781534-129  8.807456-129  1.379110-128  1.697967-128  2.158590-128
  2.836304-128  4.118721-128  4.531294-128  5.038216-128  6.288909-128  7.208682-128  8.161038-128  8.462881-128
  1.077405-127  1.160273-127  1.258131-127  1.318814-127  1.493532-127  1.627078-127  1.657640-127  1.767609-127
  1.864219-127  2.061840-127  2.132564-127  2.156403-127  2.344120-127  2.423698-127  2.475548-127  2.623921-127
  2.622969-127  2.789905-127  2.876156-127  2.873853-127  3.022251-127  3.026452-127  3.110041-127  3.084515-127
  3.224933-127  3.282054-127  3.243823-127  3.324191-127  3.285334-127  3.439842-127  3.286755-127  3.338419-127
  3.412741-127  3.424143-127  3.394897-127  3.296723-127  3.385036-127  3.335712-127  3.297178-127  3.264257-127
  3.243013-127  3.268186-127  3.155216-127  3.139578-127  3.130379-127  3.051981-127  3.018316-127  2.904374-127
  2.909465-127  2.920713-127  2.790583-127  2.786197-127  2.668470-127  2.691360-127  2.578641-127  2.511834-127
  2.497876-127  2.409584-127  2.400912-127  2.291490-127  2.274535-127  2.208056-127  2.124689-127  2.097358-127
  2.045234-127  2.013646-127  1.944048-127  1.894241-127  1.849407-127  1.825190-127  1.776307-127  1.722208-127
  1.699419-127  1.655881-127  1.634397-127  1.581549-127  1.558445-127  1.529211-127  1.499978-127  1.463961-127
  1.459136-127  1.434236-127  1.435948-127  1.387631-127  1.380445-127  1.370451-127  1.357518-127  1.352366-127
  1.314994-127  1.346810-127  1.317311-127  1.309984-127  1.321088-127  1.330346-127  1.317557-127  1.318675-127
  1.329904-127  1.345499-127  1.348546-127  1.340286-127  1.364016-127  1.386488-127  1.383962-127  1.381536-127
  1.421535-127  1.431407-127  1.447557-127  1.458494-127  1.479603-127  1.511737-127  1.508349-127  1.531450-127
 -0.835000000000000     
  3.988312-123  6.026420-127  2.027634-126  3.091675-126  7.158857-126  1.120259-125  1.401871-125  1.756317-125
  2.305725-125  3.364309-125  3.668680-125  4.069838-125  5.097778-125  5.814623-125  6.559533-125  6.747237-125
  8.618939-125  9.192477-125  9.933354-125  1.042281-124  1.171469-124  1.271476-124  1.293536-124  1.374610-124
  1.446326-124  1.589615-124  1.638590-124  1.649511-124  1.780864-124  1.836870-124  1.857896-124  1.962033-124
