 -0.885000000000000     
  0.000000E+00 -3.074805-102 -1.562161-102  9.915702-102  2.730447-101  2.027229-101  5.725222-101  6.162590-101
  6.750581-101  1.397682-100  1.504771-100  2.414006-100  2.655278-100  1.826722-100  4.851263-100  5.333902-100
  7.697981-100  9.114482-100  1.086937E-99  1.217281E-99  1.374584E-99  1.668838E-99  1.890222E-99  2.149633E-99
  2.317061E-99  2.705976E-99  3.187289E-99  3.352044E-99  3.881964E-99  4.174491E-99  4.653524E-99  4.973546E-99
  5.500209E-99  6.120413E-99  6.751738E-99  7.005372E-99  7.760789E-99  8.287132E-99  9.046665E-99  9.586246E-99
  1.056242E-98  1.120247E-98  1.188620E-98  1.240713E-98  1.322927E-98  1.471291E-98  1.509439E-98  1.662174E-98
  1.759835E-98  1.871420E-98  1.959333E-98  2.053040E-98  2.183049E-98  2.337756E-98  2.425127E-98  2.542606E-98
  2.679690E-98  2.857610E-98  2.921483E-98  3.108242E-98  3.266206E-98  3.425252E-98  3.613794E-98  3.653899E-98
  3.855315E-98  4.165802E-98  4.194589E-98  4.449050E-98  4.553524E-98  4.866137E-98  4.973711E-98  5.107187E-98
  5.405907E-98  5.498475E-98  5.819451E-98  5.952427E-98  6.193564E-98  6.504134E-98  6.599849E-98  6.875370E-98
  7.079019E-98  7.416120E-98  7.569408E-98  7.824835E-98  8.004556E-98  8.328687E-98  8.634580E-98  8.756868E-98
  9.164741E-98  9.418823E-98  9.677846E-98  9.862894E-98  1.020731E-97  1.047908E-97  1.070275E-97  1.096944E-97
  1.127857E-97  1.165030E-97  1.203976E-97  1.216510E-97  1.248395E-97  1.294404E-97  1.317269E-97  1.344417E-97
  1.346139E-97  1.424008E-97  1.431498E-97  1.472176E-97  1.512652E-97  1.548288E-97  1.567410E-97  1.587281E-97
  1.632926E-97  1.670317E-97  1.709656E-97  1.724256E-97  1.794610E-97  1.827265E-97  1.825226E-97  1.870223E-97
  1.919290E-97  1.958253E-97  1.980302E-97  2.022676E-97  2.044743E-97  2.099698E-97  2.118909E-97  2.147579E-97
  2.188912E-97  2.244564E-97  2.278898E-97  2.280415E-97  2.351540E-97  2.351683E-97  2.404118E-97  2.419752E-97
  2.479600E-97  2.526052E-97  2.532639E-97  2.549594E-97  2.601941E-97  2.651417E-97  2.711490E-97  2.674089E-97
  2.738955E-97  2.783585E-97  2.800977E-97  2.819471E-97  2.861159E-97  2.897715E-97  2.912910E-97  2.935330E-97
  2.977567E-97  3.012267E-97  3.039372E-97  3.034812E-97  3.094689E-97  3.106025E-97  3.119154E-97  3.135275E-97
  3.178388E-97  3.223622E-97  3.188160E-97  3.238522E-97  3.224132E-97  3.286072E-97  3.240980E-97  3.294172E-97
  3.290692E-97  3.306665E-97  3.352511E-97  3.320737E-97  3.332954E-97  3.344150E-97  3.370098E-97  3.356129E-97
  3.378230E-97  3.375524E-97  3.401058E-97  3.378878E-97  3.389286E-97  3.408080E-97  3.385920E-97  3.409549E-97
  3.390342E-97  3.417074E-97  3.404421E-97  3.383095E-97  3.411653E-97  3.376876E-97  3.341782E-97  3.362007E-97
  3.354708E-97  3.347037E-97  3.345093E-97  3.326832E-97  3.331942E-97  3.318190E-97  3.309920E-97  3.277190E-97
  3.268976E-97  3.260698E-97  3.242797E-97  3.222073E-97  3.202486E-97  3.202826E-97  3.143948E-97  3.147316E-97
  3.136779E-97  3.117314E-97  3.095590E-97  3.051210E-97  3.029466E-97  3.011635E-97  2.991018E-97  2.943993E-97
  2.933794E-97  2.899471E-97  2.862083E-97  2.837426E-97  2.800032E-97  2.795613E-97  2.734068E-97  2.709609E-97
  2.674349E-97  2.662361E-97  2.616736E-97  2.565296E-97  2.544083E-97  2.504683E-97  2.466875E-97  2.412236E-97
  2.397756E-97  2.351182E-97  2.315366E-97  2.251273E-97  2.225600E-97  2.171994E-97  2.129241E-97  2.097751E-97
  2.044718E-97  2.005101E-97  1.963517E-97  1.909610E-97  1.872123E-97  1.828275E-97  1.778683E-97  1.729207E-97
  1.686069E-97  1.630056E-97  1.583626E-97  1.535949E-97  1.493688E-97  1.445471E-97  1.392666E-97  1.334854E-97
 -0.875000000000000     
  0.000000E+00 -4.653216E-99 -3.660345E-99  1.106256E-98  3.719553E-98  2.130790E-98  7.193664E-98  7.440026E-98
  7.254462E-98  1.703697E-97  1.672540E-97  2.852170E-97  1.117921E-97  3.806474E-97  5.643586E-97  6.157323E-97
  9.055657E-97  1.063814E-96  1.268670E-96  1.436415E-96  1.627672E-96  1.943603E-96  2.242370E-96  2.562897E-96
  2.713392E-96  3.142898E-96  3.742142E-96  3.956328E-96  4.583453E-96  4.920290E-96  5.493708E-96  5.842557E-96
  6.491444E-96  7.192276E-96  7.964072E-96  8.253379E-96  9.173589E-96  9.782046E-96  1.066794E-95  1.130608E-95
  1.251333E-95  1.320916E-95  1.398424E-95  1.460908E-95  1.562093E-95  1.738380E-95  1.778720E-95  1.959612E-95
  2.075954E-95  2.209473E-95  2.311281E-95  2.422576E-95  2.569794E-95  2.753033E-95  2.856464E-95  2.992240E-95
  3.159421E-95  3.354575E-95  3.434796E-95  3.650484E-95  3.844242E-95  4.022473E-95  4.241971E-95  4.288732E-95
  4.512679E-95  4.889684E-95  4.923731E-95  5.207997E-95  5.341376E-95  5.696471E-95  5.811998E-95  5.967672E-95
  6.311113E-95  6.420532E-95  6.807414E-95  6.940507E-95  7.231511E-95  7.567876E-95  7.675171E-95  7.998556E-95
  8.235995E-95  8.626663E-95  8.796644E-95  9.093402E-95  9.284533E-95  9.663564E-95  1.001362E-94  1.012790E-94
  1.060521E-94  1.090265E-94  1.117823E-94  1.139306E-94  1.179849E-94  1.208727E-94  1.234791E-94  1.263770E-94
