 -0.885000000000000     
  3.097474-181  1.099331-185  3.159414-185  5.894921-185  1.215291-184  1.880709-184  2.419860-184  3.165274-184
  4.100509-184  6.348447-184  6.502695-184  7.720428-184  9.425382-184  1.122968-183  1.290563-183  1.321719-183
  1.683949-183  1.864424-183  2.027947-183  2.092543-183  2.428232-183  2.776695-183  2.803382-183  3.093062-183
  3.271902-183  3.688542-183  3.935457-183  4.069047-183  4.404308-183  4.684679-183  4.792312-183  5.168620-183
  5.328837-183  5.761652-183  6.019661-183  6.167154-183  6.669703-183  6.771902-183  7.111374-183  7.239248-183
  7.791608-183  8.056333-183  8.154611-183  8.518759-183  8.744701-183  9.223448-183  9.216795-183  9.593284-183
  9.928460-183  1.026586-182  1.049474-182  1.067105-182  1.103898-182  1.131704-182  1.149836-182  1.175058-182
  1.199929-182  1.235298-182  1.235383-182  1.263703-182  1.312426-182  1.314786-182  1.348209-182  1.337354-182
  1.384042-182  1.437177-182  1.415087-182  1.459109-182  1.447530-182  1.506620-182  1.489798-182  1.502458-182
  1.536208-182  1.532156-182  1.585344-182  1.557182-182  1.591599-182  1.614272-182  1.604688-182  1.629409-182
  1.626862-182  1.666241-182  1.654206-182  1.664585-182  1.666840-182  1.691249-182  1.695308-182  1.677207-182
  1.695167-182  1.704074-182  1.717711-182  1.704096-182  1.724825-182  1.711152-182  1.714084-182  1.710721-182
  1.713382-182  1.720215-182  1.740077-182  1.704697-182  1.719346-182  1.713015-182  1.709119-182  1.717822-182
  1.669427-182  1.723188-182  1.686190-182  1.681786-182  1.677954-182  1.683631-182  1.662689-182  1.639446-182
  1.650207-182  1.637991-182  1.637474-182  1.614485-182  1.622532-182  1.610585-182  1.582134-182  1.570488-182
  1.577467-182  1.561566-182  1.541407-182  1.532311-182  1.514419-182  1.520205-182  1.487609-182  1.480459-182
  1.465089-182  1.466261-182  1.448697-182  1.416494-182  1.424181-182  1.392056-182  1.387805-182  1.360793-182
  1.360734-182  1.350520-182  1.321509-182  1.302927-182  1.296601-182  1.283317-182  1.273491-182  1.238200-182
  1.233796-182  1.221695-182  1.203869-182  1.189426-182  1.172102-182  1.161789-182  1.143516-182  1.121040-182
  1.106460-182  1.098500-182  1.087157-182  1.058237-182  1.054243-182  1.041025-182  1.019239-182  1.004111-182
